Rank,City,Country,Quality of Life Index,Purchasing Power Index,Safety Index,Health Care Index,Cost of Living Index,Property Price to Income Ratio,Traffic Commute Time Index,Pollution Index,Climate Index,x1,x54,Air_Pollution_2023,Education,Taxation,Internet Access
1,The Hague,Netherlands,223.8,138.9,79.8,80.7,60.2,5.9,21.0,17.5,90.6,,,,4.306500000000001,4.954999999999999,6.5135000000000005
2,Luxembourg,Luxembourg,220.6,175.9,71.4,76.6,62.0,9.2,27.7,21.6,82.6,20.49,4135.59,,3.4795,7.151,5.458
3,Eindhoven,Netherlands,217.5,139.4,78.1,78.9,62.2,6.0,24.5,19.2,85.4,17.14,3511.81,13.0,5.0805,4.954999999999999,7.658999999999999
4,Rotterdam,Netherlands,214.2,139.1,71.6,81.2,61.3,5.5,22.9,24.0,87.9,16.1,3122.24,10.6,4.306500000000001,4.954999999999999,5.852500000000001
5,Zurich,Switzerland,208.1,181.2,77.2,70.3,100.4,12.9,38.1,24.4,81.5,26.42,6570.44,10.3,7.2875,6.4285000000000005,7.2675
6,Copenhagen,Denmark,201.5,123.7,74.3,77.2,75.7,8.2,27.7,21.3,83.7,19.55,3595.94,8.6,5.301,5.0680000000000005,7.239500000000001
7,Vienna,Austria,197.9,113.1,69.9,79.6,64.3,12.7,22.8,16.3,81.8,15.58,2662.28,10.5,4.854500000000001,2.666,6.173
8,Helsinki,Finland,196.9,111.7,75.5,80.0,66.3,10.8,25.3,12.7,62.8,13.5,2834.36,5.5,5.4545,4.8785,5.1035
9,Geneva,Switzerland,196.2,152.2,69.3,71.0,101.7,12.0,32.1,25.6,82.6,26.42,5792.65,,5.186,6.4285000000000005,8.378499999999999
10,Frankfurt,Germany,194.5,142.3,53.9,76.7,63.7,8.2,23.8,32.7,84.7,14.02,3337.85,,5.2065,3.9035,4.079
11,Stuttgart,Germany,194.3,145.7,65.5,76.7,64.2,7.5,29.0,38.9,81.1,12.46,3280.17,11.1,5.0505,3.9035,5.124
12,Amsterdam,Netherlands,194.1,112.2,71.1,78.3,69.7,11.3,24.2,24.6,87.5,19.22,3606.11,10.0,6.18,4.954999999999999,4.523000000000001
13,Reykjavik,Iceland,193.8,104.9,75.8,68.6,83.9,7.3,21.2,15.1,68.8,17.65,3331.49,3.3,4.057,4.4655000000000005,6.742
14,Perth,Australia,193.8,140.8,58.3,71.2,69.6,5.5,42.4,27.7,95.7,16.77,4179.62,6.0,5.143,4.5885,4.1785
15,Austin,UnitedStates,193.3,166.0,58.8,68.8,66.8,3.3,37.2,43.1,82.1,,,,5.315000000000001,4.772,9.049
16,Brisbane,Australia,193.3,135.2,63.3,74.5,67.9,8.7,40.8,28.5,98.1,13.41,4031.8,3.5,5.920999999999999,4.5885,4.407500000000001
17,Abu Dhabi,UnitedArabEmirates,192.4,160.5,88.2,71.1,54.1,5.8,32.9,46.9,43.9,,,,,,
18,Melbourne,Australia,192.3,142.8,56.3,73.0,67.8,7.6,41.8,27.5,94.3,15.42,4063.98,4.8,6.2205,4.5885,5.896000000000001
19,Valencia,Spain,191.7,83.9,69.8,80.3,47.2,7.4,22.8,24.9,93.8,12.46,1535.37,10.9,4.266000000000001,3.894000000000001,9.14
