City,Country,Predicted_Livability,Score_Distance
Hong Kong,HongKong(China),36.97860066571782,0.3550637351552126
Brasilia,Brazil,36.819016721766076,0.5146476791069574
Ankara,Turkey,36.457521083950446,0.8761433169225867
Budapest,Hungary,35.302712100544994,2.030952300328039
New York,UnitedStates,34.88435813598313,2.4493062648899055
Rome,Italy,40.4275338364046,3.093869435531566
Kuwait City,Kuwait,40.48521242350213,3.1515480226290933
Novi Sad,Serbia,33.85617399869366,3.47749040217937
Sofia,Bulgaria,41.1565089636955,3.8228445628224677
Paris,France,33.366855927793495,3.9668084730795385
