model,mean_test_score,std_test_score,rank_test_score,params
GradientBoosting,0.944931075835896,0.01693563453331968,1,"{'learning_rate': 0.1, 'max_depth': 2, 'min_samples_leaf': 1, 'n_estimators': 400, 'subsample': 0.8}"
GradientBoosting,0.9440817235053428,0.01746339648590013,2,"{'learning_rate': 0.1, 'max_depth': 2, 'min_samples_leaf': 2, 'n_estimators': 400, 'subsample': 0.8}"
GradientBoosting,0.9433438794075976,0.01789635363285567,3,"{'learning_rate': 0.1, 'max_depth': 2, 'min_samples_leaf': 1, 'n_estimators': 200, 'subsample': 0.8}"
GradientBoosting,0.9422559858250521,0.018154850872258533,4,"{'learning_rate': 0.1, 'max_depth': 2, 'min_samples_leaf': 2, 'n_estimators': 200, 'subsample': 0.8}"
GradientBoosting,0.9397789360591687,0.015994007964800588,5,"{'learning_rate': 0.05, 'max_depth': 2, 'min_samples_leaf': 2, 'n_estimators': 400, 'subsample': 0.8}"
GradientBoosting,0.9387545249139906,0.01592789598071754,6,"{'learning_rate': 0.03, 'max_depth': 2, 'min_samples_leaf': 2, 'n_estimators': 400, 'subsample': 0.8}"
GradientBoosting,0.9383703706740721,0.017729429569992183,7,"{'learning_rate': 0.05, 'max_depth': 2, 'min_samples_leaf': 1, 'n_estimators': 400, 'subsample': 0.8}"
GradientBoosting,0.9375679147278465,0.019055912488926054,8,"{'learning_rate': 0.1, 'max_depth': 2, 'min_samples_leaf': 1, 'n_estimators': 100, 'subsample': 0.8}"
GradientBoosting,0.9368479176428955,0.016335748178669837,9,"{'learning_rate': 0.03, 'max_depth': 2, 'min_samples_leaf': 1, 'n_estimators': 400, 'subsample': 0.8}"
GradientBoosting,0.9368209500062428,0.01884440949476382,10,"{'learning_rate': 0.1, 'max_depth': 2, 'min_samples_leaf': 2, 'n_estimators': 100, 'subsample': 0.8}"
GradientBoosting,0.9326613096700116,0.009610085703685132,11,"{'learning_rate': 0.1, 'max_depth': 2, 'min_samples_leaf': 1, 'n_estimators': 400, 'subsample': 1.0}"
GradientBoosting,0.9317498286455355,0.01145701846577526,12,"{'learning_rate': 0.1, 'max_depth': 2, 'min_samples_leaf': 2, 'n_estimators': 400, 'subsample': 1.0}"
GradientBoosting,0.9312092703133545,0.01908213411181422,13,"{'learning_rate': 0.05, 'max_depth': 2, 'min_samples_leaf': 2, 'n_estimators': 200, 'subsample': 0.8}"
GradientBoosting,0.9304381509119721,0.01108500934223592,14,"{'learning_rate': 0.1, 'max_depth': 2, 'min_samples_leaf': 1, 'n_estimators': 200, 'subsample': 1.0}"
GradientBoosting,0.9303467061963404,0.020122382473638945,15,"{'learning_rate': 0.05, 'max_depth': 2, 'min_samples_leaf': 1, 'n_estimators': 200, 'subsample': 0.8}"
GradientBoosting,0.9301618809550971,0.012740895202365569,16,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 1, 'n_estimators': 400, 'subsample': 0.8}"
GradientBoosting,0.9299460823812424,0.012899658926847498,17,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 1, 'n_estimators': 200, 'subsample': 0.8}"
GradientBoosting,0.9299017132378493,0.012583387445895287,18,"{'learning_rate': 0.05, 'max_depth': 2, 'min_samples_leaf': 2, 'n_estimators': 400, 'subsample': 1.0}"
GradientBoosting,0.9297446100654705,0.009853911567850395,19,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 2, 'n_estimators': 400, 'subsample': 0.8}"
GradientBoosting,0.9296731932369668,0.012650588779841609,20,"{'learning_rate': 0.03, 'max_depth': 3, 'min_samples_leaf': 2, 'n_estimators': 400, 'subsample': 0.8}"
GradientBoosting,0.9295378914327201,0.01270314753366706,21,"{'learning_rate': 0.03, 'max_depth': 3, 'min_samples_leaf': 1, 'n_estimators': 400, 'subsample': 0.8}"
GradientBoosting,0.9293772148903287,0.012547951988432634,22,"{'learning_rate': 0.1, 'max_depth': 2, 'min_samples_leaf': 2, 'n_estimators': 200, 'subsample': 1.0}"
GradientBoosting,0.9291359925894099,0.01248960034633855,23,"{'learning_rate': 0.05, 'max_depth': 2, 'min_samples_leaf': 1, 'n_estimators': 400, 'subsample': 1.0}"
GradientBoosting,0.9283703480510923,0.01056459062600249,24,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 1, 'n_estimators': 400, 'subsample': 0.8}"
GradientBoosting,0.9279576927840546,0.014979482218223457,25,"{'learning_rate': 0.03, 'max_depth': 2, 'min_samples_leaf': 1, 'n_estimators': 400, 'subsample': 1.0}"
GradientBoosting,0.9274360535923399,0.013188952339989866,26,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 1, 'n_estimators': 100, 'subsample': 0.8}"
GradientBoosting,0.9272964936683223,0.010320801378241042,27,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 2, 'n_estimators': 200, 'subsample': 0.8}"
GradientBoosting,0.9270725121106486,0.015202107091747484,28,"{'learning_rate': 0.03, 'max_depth': 2, 'min_samples_leaf': 2, 'n_estimators': 400, 'subsample': 1.0}"
GradientBoosting,0.9261627599004456,0.011175565027450644,29,"{'learning_rate': 0.05, 'max_depth': 3, 'min_samples_leaf': 1, 'n_estimators': 200, 'subsample': 0.8}"
GradientBoosting,0.9249183529555104,0.01406148424757355,30,"{'learning_rate': 0.1, 'max_depth': 2, 'min_samples_leaf': 1, 'n_estimators': 100, 'subsample': 1.0}"
GradientBoosting,0.9246979506842301,0.01141467138545808,31,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 2, 'n_estimators': 400, 'subsample': 0.8}"
GradientBoosting,0.9244872378699878,0.011459954520817281,32,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 2, 'n_estimators': 200, 'subsample': 0.8}"
GradientBoosting,0.9242563985301431,0.014355188459737418,33,"{'learning_rate': 0.05, 'max_depth': 2, 'min_samples_leaf': 1, 'n_estimators': 200, 'subsample': 1.0}"
GradientBoosting,0.9241402030707848,0.01489185313787948,34,"{'learning_rate': 0.1, 'max_depth': 2, 'min_samples_leaf': 2, 'n_estimators': 100, 'subsample': 1.0}"
GradientBoosting,0.9241210885044693,0.015119489552416956,35,"{'learning_rate': 0.05, 'max_depth': 2, 'min_samples_leaf': 2, 'n_estimators': 200, 'subsample': 1.0}"
GradientBoosting,0.9229130267292277,0.008490499087475728,36,"{'learning_rate': 0.05, 'max_depth': 4, 'min_samples_leaf': 1, 'n_estimators': 400, 'subsample': 0.8}"
GradientBoosting,0.922738182330687,0.01418471360638526,37,"{'learning_rate': 0.03, 'max_depth': 3, 'min_samples_leaf': 1, 'n_estimators': 200, 'subsample': 0.8}"
GradientBoosting,0.9225713067680064,0.014077350525754494,38,"{'learning_rate': 0.03, 'max_depth': 3, 'min_samples_leaf': 2, 'n_estimators': 200, 'subsample': 0.8}"
GradientBoosting,0.922499152250148,0.011137145020534603,39,"{'learning_rate': 0.03, 'max_depth': 4, 'min_samples_leaf': 2, 'n_estimators': 400, 'subsample': 0.8}"
GradientBoosting,0.9224316764741234,0.008768028221394547,40,"{'learning_rate': 0.05, 'max_depth': 4, 'min_samples_leaf': 1, 'n_estimators': 200, 'subsample': 0.8}"
GradientBoosting,0.9221399642292806,0.019342530184542465,41,"{'learning_rate': 0.03, 'max_depth': 2, 'min_samples_leaf': 2, 'n_estimators': 200, 'subsample': 0.8}"
